hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2543,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3010.0,15.0,p1,fold,False,2,140.0,145.0,rock
2544,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3005.0,15.0,p1,fold,False,2,140.0,145.0,rock
2545,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3000.0,15.0,p1,fold,False,2,140.0,145.0,rock
2546,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3015.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2547,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3010.0,15.0,p1,fold,False,2,140.0,145.0,rock
2548,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3005.0,15.0,p1,fold,False,2,140.0,145.0,rock
2549,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3000.0,15.0,p1,fold,False,2,140.0,145.0,rock
2550,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-3010.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2551,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-3005.0,20.0,p1,fold,False,2,135.0,145.0,rock
2552,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3020.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2553,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-3030.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2554,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3025.0,15.0,p1,fold,False,2,140.0,145.0,rock
2555,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-3030.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2556,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3045.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2557,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3060.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2558,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3075.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2559,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-3070.0,20.0,p1,fold,False,2,135.0,145.0,rock
2560,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-3065.0,20.0,p1,fold,False,2,135.0,145.0,rock
2561,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-3060.0,20.0,p1,fold,False,2,135.0,145.0,rock
2562,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-3055.0,20.0,p1,fold,False,2,135.0,145.0,rock
2563,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-3060.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2564,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-3055.0,20.0,p1,fold,False,2,135.0,145.0,rock
2565,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-3065.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2566,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3080.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2567,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3095.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2568,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3110.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2569,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3105.0,15.0,p1,fold,False,2,140.0,145.0,rock
2570,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3120.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2571,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3115.0,15.0,p1,fold,False,2,140.0,145.0,rock
2572,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3110.0,15.0,p1,fold,False,2,140.0,145.0,rock
2573,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3105.0,15.0,p1,fold,False,2,140.0,145.0,rock
2574,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3100.0,15.0,p1,fold,False,2,140.0,145.0,rock
2575,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3095.0,15.0,p1,fold,False,2,140.0,145.0,rock
2576,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-3090.0,15.0,p1,fold,False,2,140.0,145.0,rock
