hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
129,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,370.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
130,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,365.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
131,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,360.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
132,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,375.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
133,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,390.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
134,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,385.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
135,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,380.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
136,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,395.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
137,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,410.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
138,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,425.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
139,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,440.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
140,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,455.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
141,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,450.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
142,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,455.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
143,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,450.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
144,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,465.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
145,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,460.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
146,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,455.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
147,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,470.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
148,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,475.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
149,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,490.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
150,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,485.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
151,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,480.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
152,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,475.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
153,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,470.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
154,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,485.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
155,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,490.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
156,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,485.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
157,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,480.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
158,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,475.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
159,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,470.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
160,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,465.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
161,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,480.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
162,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,495.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
163,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,490.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
164,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,505.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
165,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,500.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
166,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,495.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
167,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,490.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
168,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,485.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
169,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,480.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
170,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,495.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
171,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,510.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
172,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,505.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
173,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,520.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
174,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,525.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
175,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,540.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
176,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,545.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
177,k,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,550.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
